,Alert,Date,Time,Lat,Long,Vehicle,Speed,Likelihood of Collision,likely_collision,not_likely_collision,Head-on collision,Rear-end collision,Side-impact collision,Pedestrian collision,Multi-vehicle collision,Hit-and-run collision,Wrong-way collision
15,2,6/1/2022,6:05:10,12.87899,80.080324,805,13,0.6811720807572336,1,0,0,0,0,0,0,0,0
16,2,6/1/2022,6:06:41,12.873922,80.078184,805,59,0.352671064018144,0,1,0,0,0,0,0,0,0
17,2,6/1/2022,6:07:12,12.86711,80.075508,805,58,0.36262093570151027,0,1,0,0,0,0,0,0,0
18,2,6/1/2022,6:07:50,12.855921,80.069229,805,58,0.3497529142739437,0,1,0,0,0,0,0,0,0
19,2,6/1/2022,6:08:17,12.852359,80.066607,805,58,0.345812309917973,0,1,0,0,0,0,0,0,0
20,2,6/1/2022,6:08:36,12.849964,80.064909,805,58,0.34316107604839224,0,1,0,0,0,0,0,0,0
21,2,6/1/2022,6:09:18,12.845798,80.061731,805,45,0.5755122893666906,1,0,0,0,0,0,0,0,0
22,2,6/1/2022,6:09:56,12.980898,80.165679,2846,53,0.5855982830169641,1,0,0,0,0,0,0,0,0
23,2,6/1/2022,6:10:08,12.980898,80.165679,2846,53,0.5855982830169641,1,0,0,0,0,0,0,0,0
24,2,6/1/2022,6:10:17,12.841731,80.057609,805,58,0.3343847723185239,0,1,0,0,0,0,0,0,0
25,2,6/1/2022,6:11:44,12.831583,80.046907,805,58,0.32401841258442104,0,1,0,0,0,0,0,0,0
26,2,6/1/2022,6:12:59,12.822942,80.038928,805,58,0.31510946487694375,0,1,0,0,0,0,0,0,0
27,2,6/1/2022,6:13:08,12.992264,80.182428,2846,54,0.5791838230957934,1,0,0,0,0,0,0,0,0
28,2,6/1/2022,6:13:23,12.820537,80.037237,805,57,0.32975482069085515,0,1,0,0,0,0,0,0,0
29,2,6/1/2022,6:14:04,12.818145,80.035529,805,57,0.3271660735972737,0,1,0,0,0,0,0,0,0
30,1,6/1/2022,6:14:53,12.815835,80.033858,805,45,0.5435924961076903,1,0,0,0,0,0,0,0,0
31,2,6/1/2022,6:15:07,12.814768,80.033094,805,61,0.25823810508509404,0,1,0,0,0,0,0,0,0
32,1,6/1/2022,6:15:35,12.803876,80.026072,805,58,0.29506953348976545,0,1,0,0,0,0,0,0,0
33,1,6/1/2022,6:15:38,12.803876,80.026072,805,58,0.29506953348976545,0,1,0,0,0,0,0,0,0
34,2,6/1/2022,6:15:58,12.801438,80.02447,805,58,0.2925499663117006,0,1,0,0,0,0,0,0,0
35,2,6/1/2022,6:16:08,12.800221,80.023653,805,56,0.32497809600495425,0,1,0,0,0,0,0,0,0
36,2,6/1/2022,6:16:26,12.797784,80.022085,805,58,0.2887931676661031,0,1,0,0,0,0,0,0,0
37,1,6/1/2022,6:16:37,12.796555,80.021272,805,58,0.28753749591878486,0,1,0,0,0,0,0,0,0
38,1,6/1/2022,6:16:46,12.795046,80.020296,805,1,0.5292631121794641,1,0,0,1,0,0,0,0,0
39,2,6/1/2022,6:17:00,12.793592,80.019323,805,59,0.2686090061303985,0,1,0,0,0,0,0,0,0
40,2,6/1/2022,6:17:27,12.790001,80.017028,805,57,0.29717707116901715,0,1,0,0,0,0,0,0,0
41,2,6/1/2022,6:18:37,12.781964,80.012667,805,58,0.27269321064388025,0,1,0,0,0,0,0,0,0
42,1,6/1/2022,6:18:55,12.779812,80.01172,805,58,0.2704892883254847,0,1,0,0,0,0,0,0,0
43,1,6/1/2022,6:19:10,12.777725,80.010838,805,48,0.44405960431527564,0,1,0,0,0,0,0,0,0
44,2,6/1/2022,6:19:23,13.010352,80.215922,2846,50,0.6592881924725227,1,0,0,0,0,0,0,0,0
45,2,6/1/2022,6:19:42,13.010352,80.215922,2846,50,0.6592881924725227,1,0,0,0,0,0,0,0,0
46,2,6/1/2022,6:20:11,12.770133,80.007326,805,46,0.4718185544212562,0,1,0,0,0,0,0,0,0
47,1,6/1/2022,6:20:31,13.012897,80.221989,2846,49,0.6753373921460889,1,0,0,0,0,0,0,0,0
48,2,6/1/2022,6:20:42,12.766036,80.005408,805,58,0.2566758568506292,0,1,0,0,0,0,0,0,0
49,2,6/1/2022,6:21:03,12.763868,80.004497,805,58,0.2545293868151894,0,1,0,0,0,0,0,0,0
50,1,6/1/2022,6:21:48,12.757137,80.002432,805,58,0.24781797833724795,0,1,0,0,0,0,0,0,0
51,2,6/1/2022,6:22:20,12.753059,80.000121,805,57,0.2589889083888073,0,1,0,0,0,0,0,0,0
52,2,6/1/2022,6:22:40,12.751096,79.998814,805,58,0.24216438647688496,0,1,0,0,0,0,0,0,0
53,2,6/1/2022,6:22:59,12.749247,79.997342,805,58,0.24050690509437753,0,1,0,0,0,0,0,0,0
54,2,6/1/2022,6:23:20,12.74555,79.994405,805,58,0.23721428819904727,0,1,0,0,0,0,0,0,0
55,2,6/1/2022,6:23:26,12.74555,79.994405,805,58,0.23721428819904727,0,1,0,0,0,0,0,0,0
56,2,6/1/2022,6:23:52,12.741998,79.991535,805,58,0.23408633992158048,0,1,0,0,0,0,0,0,0
57,2,6/1/2022,6:24:57,13.024305,80.228471,2846,1,0.470587991650997,0,1,0,0,0,0,0,0,0
58,0,6/1/2022,6:26:32,12.724588,79.982251,805,33,0.6329036310610485,1,0,0,0,0,0,0,0,0
59,2,6/1/2022,6:27:01,12.722392,79.981537,805,45,0.4329814610744965,0,1,0,0,0,0,0,0,0
60,1,6/1/2022,6:27:15,13.031173,80.239814,2846,28,0.7912210750585944,1,0,0,0,0,0,0,0,0
61,2,6/1/2022,6:28:19,12.711256,79.978734,805,58,0.2065112292020949,0,1,0,0,0,0,0,0,0
62,2,6/1/2022,6:28:54,12.709089,79.977492,805,58,0.20470497757523948,0,1,0,0,0,0,0,0,0
63,1,6/1/2022,6:29:02,12.709089,79.977492,805,58,0.20470497757523948,0,1,0,0,0,0,0,0,0
64,2,6/1/2022,6:29:33,12.705469,79.97456,805,58,0.20182972615437975,0,1,0,0,0,0,0,0,0
65,2,6/1/2022,6:29:53,12.701326,79.969416,805,58,0.1988158213339353,0,1,0,0,0,0,0,0,0
66,1,6/1/2022,6:30:10,13.039036,80.246748,2846,17,0.7078361042955005,1,0,0,1,0,0,0,0,0
67,1,6/1/2022,6:30:21,12.697469,79.9672,805,60,0.17157236506054568,0,1,0,0,0,0,0,0,0
68,1,6/1/2022,6:30:23,12.697469,79.9672,805,60,0.17157236506054568,0,1,0,0,0,0,0,0,0
69,2,6/1/2022,6:30:44,12.693691,79.965188,805,57,0.20546578417481526,0,1,0,0,0,0,0,0,0
70,1,6/1/2022,6:30:49,13.042432,80.247439,2846,37,0.7962087707904776,1,0,0,0,0,0,0,0,0
71,1,6/1/2022,6:31:59,12.685681,79.959317,805,23,0.6930702143715167,1,0,0,0,0,0,0,0,0
72,1,6/1/2022,6:32:11,12.684891,79.959075,805,21,0.6997333872126436,1,0,0,0,0,0,0,0,0
73,1,6/1/2022,6:32:19,12.684891,79.959075,805,21,0.6997333872126436,1,0,0,0,0,0,0,0,0
74,1,6/1/2022,6:32:21,13.053062,80.251879,2846,56,0.606698767572304,1,0,0,0,0,0,0,0,0
75,2,6/1/2022,6:33:01,12.682063,79.958519,805,57,0.19594626232354628,0,1,0,0,0,0,0,0,0
76,2,6/1/2022,6:33:29,12.677238,79.958585,805,58,0.1795556205873735,0,1,0,0,0,0,0,0,0
77,2,6/1/2022,6:33:49,12.672678,79.958665,805,58,0.1758127898120677,0,1,0,0,0,0,0,0,0
78,3,6/1/2022,6:34:05,13.060628,80.25437,2846,42,0.7811761903692407,1,0,0,0,0,0,0,0,0
79,0,6/1/2022,6:34:09,13.061608,80.254414,2846,26,0.7838780176366439,1,0,0,0,0,0,0,0,0
80,0,6/1/2022,6:34:11,13.061608,80.254414,2846,26,0.7838780176366439,1,0,0,0,0,0,0,0,0
81,2,6/1/2022,6:34:26,12.668296,79.958761,805,58,0.1722706026522747,0,1,0,0,0,0,0,0,0
82,2,6/1/2022,6:34:35,12.668296,79.958761,805,58,0.1722706026522747,0,1,0,0,0,0,0,0,0
83,2,6/1/2022,6:34:54,12.664172,79.960529,805,57,0.18040043086703209,0,1,0,0,0,0,0,0,0
84,2,6/1/2022,6:35:10,12.661947,79.961164,805,57,0.17848647617897404,0,1,0,0,0,0,0,0,0
85,2,6/1/2022,6:35:43,12.658153,79.95926,805,59,0.15346254789916594,0,1,0,0,0,0,0,0,0
86,1,6/1/2022,6:36:28,12.655738,79.952993,805,58,0.16312484768094107,0,1,0,0,0,0,0,0,0
87,2,6/1/2022,6:36:49,12.656157,79.950818,805,58,0.16369837412120358,0,1,0,0,0,0,0,0,0
88,2,6/1/2022,6:37:21,12.657324,79.946719,805,44,0.37436663241997287,0,1,0,0,0,0,0,0,0
89,2,6/1/2022,6:37:29,12.657324,79.946719,805,44,0.37436663241997287,0,1,0,0,0,0,0,0,0
90,2,6/1/2022,6:37:51,12.656077,79.941901,805,58,0.16467440567820033,0,1,0,0,0,0,0,0,0
91,2,6/1/2022,6:38:16,12.653916,79.942239,805,58,0.16297436210721064,0,1,0,0,0,0,0,0,0
92,2,6/1/2022,6:38:26,12.651766,79.941969,805,57,0.17258419848503917,0,1,0,0,0,0,0,0,0
93,1,6/1/2022,6:41:23,12.630791,79.931575,805,58,0.14715945623330193,0,1,0,0,0,0,0,0,0
94,0,6/1/2022,6:41:35,12.630791,79.931575,805,58,0.14715945623330193,0,1,0,0,0,0,0,0,0
95,2,6/1/2022,6:42:00,12.628494,79.930584,805,58,0.14565159448937995,0,1,0,0,0,0,0,0,0
96,2,6/1/2022,6:42:58,12.624184,79.928729,805,57,0.15304426102735635,0,1,0,0,0,0,0,0,0
97,2,6/1/2022,6:43:12,12.624184,79.928729,805,57,0.15304426102735635,0,1,0,0,0,0,0,0,0
98,2,6/1/2022,6:43:17,12.622224,79.927889,805,51,0.22460018765710407,0,1,0,0,0,0,0,0,0
99,2,6/1/2022,6:43:23,12.620168,79.927159,805,62,0.10551024868299998,0,1,0,0,0,0,0,0,0
100,2,6/1/2022,6:43:39,12.615635,79.925932,805,58,0.13735207174539474,0,1,0,0,0,0,0,0,0
101,2,6/1/2022,6:43:52,12.613563,79.924807,805,58,0.1360895468806442,0,1,0,0,0,0,0,0,0
102,2,6/1/2022,6:44:16,12.611517,79.923634,805,58,0.13485849876007128,0,1,0,0,0,0,0,0,0
103,2,6/1/2022,6:44:57,12.605253,79.920768,805,58,0.1310768202409039,0,1,0,0,0,0,0,0,0
104,2,6/1/2022,6:45:32,12.600634,79.920036,805,58,0.12821406006853808,0,1,0,0,0,0,0,0,0
105,2,6/1/2022,6:46:15,12.593493,79.919307,805,58,0.12385476156725797,0,1,0,0,0,0,0,0,0
106,1,6/1/2022,6:46:41,12.586458,79.919519,805,58,0.11960029365209829,0,1,0,0,0,0,0,0,0
107,2,6/1/2022,6:47:58,12.573016,79.916544,805,58,0.11210433647928722,0,1,0,0,0,0,0,0,0
108,2,6/1/2022,6:48:53,12.566076,79.914688,805,57,0.11651949196304287,0,1,0,0,0,0,0,0,0
109,2,6/1/2022,6:49:54,12.558008,79.910184,805,51,0.1704530231933388,0,1,0,0,0,0,0,0,0
110,2,6/1/2022,6:50:07,12.558008,79.910184,805,51,0.1704530231933388,0,1,0,0,0,0,0,0,0
111,2,6/1/2022,6:50:28,12.556565,79.909357,805,38,0.36180650488622657,0,1,0,0,0,0,0,0,0
112,2,6/1/2022,6:50:50,12.554666,79.908276,805,61,0.08242451000798273,0,1,0,0,0,0,0,0,0
113,2,6/1/2022,6:51:55,12.543341,79.904965,805,58,0.09735982780247253,0,1,0,0,0,0,0,0,0
114,2,6/1/2022,6:52:14,12.541036,79.904535,805,58,0.09625456439895955,0,1,0,0,0,0,0,0,0
115,2,6/1/2022,6:52:20,12.538751,79.904113,805,53,0.1362725499763802,0,1,0,0,0,0,0,0,0
116,2,6/1/2022,6:52:27,12.538751,79.904113,805,53,0.1362725499763802,0,1,0,0,0,0,0,0,0
117,2,6/1/2022,6:52:58,12.534756,79.901778,805,58,0.09341400522430007,0,1,0,0,0,0,0,0,0
118,2,6/1/2022,6:53:22,12.530507,79.899774,805,58,0.09154445776068638,0,1,0,0,0,0,0,0,0
119,2,6/1/2022,6:53:55,12.526309,79.897648,805,58,0.08974037798725336,0,1,0,0,0,0,0,0,0
120,2,6/1/2022,6:54:31,12.524034,79.896632,805,58,0.08876663819429295,0,1,0,0,0,0,0,0,0
121,2,6/1/2022,6:55:37,12.517021,79.890442,805,58,0.08602936137280452,0,1,0,0,0,0,0,0,0
122,1,6/1/2022,7:06:38,12.509666,79.884816,805,17,0.6181925228117706,1,0,0,1,0,0,0,0,0
123,1,6/1/2022,7:06:46,12.509666,79.884816,805,17,0.6181925228117706,1,0,0,1,0,0,0,0,0
124,2,6/1/2022,7:08:32,12.516883,79.887983,805,1,0.5787875387645935,1,0,0,0,0,0,0,0,0
125,2,6/1/2022,7:09:22,12.518274,79.89167,805,37,0.335693449178967,0,1,0,0,0,0,0,0,0
126,2,6/1/2022,7:09:37,12.519849,79.893262,805,58,0.08710192965256731,0,1,0,0,0,0,0,0,0
127,2,6/1/2022,7:09:52,12.519849,79.893262,805,58,0.08710192965256731,0,1,0,0,0,0,0,0,0
128,2,6/1/2022,7:10:54,12.525591,79.897179,805,58,0.0894423477898227,0,1,0,0,0,0,0,0,0
129,2,6/1/2022,7:11:14,12.531729,79.90024,805,34,0.4028028359742271,0,1,0,0,0,0,0,0,0
130,2,6/1/2022,7:11:25,12.533717,79.901075,805,60,0.08012391761930712,0,1,0,0,0,0,0,0,0
131,2,6/1/2022,7:11:45,12.535888,79.902284,805,56,0.10868822646084834,0,1,0,0,0,0,0,0,0
132,2,6/1/2022,7:11:55,12.535888,79.902284,805,56,0.10868822646084834,0,1,0,0,0,0,0,0,0
133,1,6/1/2022,7:12:09,13.071684,80.259156,2846,23,0.7629673654305448,1,0,0,0,0,0,0,0,0
134,2,6/1/2022,7:12:53,12.543551,79.904835,805,1,0.5768162000191909,1,0,0,0,0,0,0,0,0
135,1,6/1/2022,7:13:04,13.073034,80.261821,2846,20,0.7356890225352272,1,0,0,0,0,0,0,0,0
136,2,6/1/2022,7:13:15,12.544251,79.904965,805,34,0.41767105263224646,0,1,0,0,0,0,0,0,0
137,2,6/1/2022,7:13:23,12.546179,79.905313,805,60,0.08518745782024015,0,1,0,0,0,0,0,0,0
138,2,6/1/2022,7:14:55,12.554801,79.908159,805,58,0.10293970596659313,0,1,0,0,0,0,0,0,0
139,2,6/1/2022,7:15:33,12.559018,79.910573,805,58,0.10496329593613446,0,1,0,0,0,0,0,0,0
140,1,6/1/2022,7:15:40,13.068967,80.267456,2846,28,0.7944149687560534,1,0,0,0,0,0,0,0,0
141,2,6/1/2022,7:16:15,12.563206,79.91303,805,58,0.10700244074006277,0,1,0,0,0,0,0,0,0
142,2,6/1/2022,7:16:42,12.569897,79.915546,805,58,0.11044985554965339,0,1,0,0,0,0,0,0,0
143,1,6/1/2022,7:16:46,12.572158,79.916154,805,58,0.11165684241573266,0,1,0,0,0,0,0,0,0
144,2,6/1/2022,7:17:00,12.574589,79.916705,805,58,0.11297605961805217,0,1,0,0,0,0,0,0,0
145,3,6/1/2022,7:17:05,13.066903,80.273656,2846,18,0.7155565992966104,1,0,0,0,0,0,0,0,0
146,2,6/1/2022,7:17:10,12.576887,79.917167,805,57,0.12270757987889876,0,1,0,0,0,0,0,0,0
147,2,6/1/2022,7:18:37,12.588822,79.919274,805,57,0.12992145232346586,0,1,0,0,0,0,0,0,0
148,3,6/1/2022,7:18:38,13.062345,80.274259,2846,23,0.7635972113415369,1,0,0,0,0,0,0,0,0
149,2,6/1/2022,7:19:16,12.593799,79.919159,805,58,0.12405553318858502,0,1,0,0,0,0,0,0,0
150,2,6/1/2022,7:19:27,12.593799,79.919159,805,58,0.12405553318858502,0,1,0,0,0,0,0,0,0
151,3,6/1/2022,7:19:59,13.061044,80.274416,2846,9,0.5943726793355203,1,0,0,0,0,0,0,0,0
152,2,6/1/2022,7:20:30,12.605689,79.920737,805,58,0.1313595057283206,0,1,0,0,0,0,0,0,0
153,2,6/1/2022,7:20:51,12.60793,79.921399,805,58,0.13274011068974087,0,1,0,0,0,0,0,0,0
154,2,6/1/2022,7:21:09,12.60793,79.921399,805,58,0.13274011068974087,0,1,0,0,0,0,0,0,0
155,2,6/1/2022,7:21:27,12.610107,79.922633,805,58,0.1340345388346633,0,1,0,0,0,0,0,0,0
156,2,6/1/2022,7:21:38,12.614301,79.925073,805,58,0.13655162302135676,0,1,0,0,0,0,0,0,0
157,3,6/1/2022,7:21:40,13.056923,80.273946,2846,25,0.7777800704588406,1,0,0,0,0,0,0,0,0
158,2,6/1/2022,7:21:42,12.614301,79.925073,805,58,0.13655162302135676,0,1,0,0,0,0,0,0,0
159,2,6/1/2022,7:21:56,12.616414,79.926094,805,57,0.14775457247271942,0,1,0,0,0,0,0,0,0
160,2,6/1/2022,7:22:06,12.618631,79.926673,805,57,0.14926716859326913,0,1,0,0,0,0,0,0,0
161,2,6/1/2022,7:22:24,12.621043,79.927266,805,58,0.14085776349924214,0,1,0,0,0,0,0,0,0
162,2,6/1/2022,7:22:52,12.625384,79.929079,805,58,0.1436472298561425,0,1,0,0,0,0,0,0,0
163,2,6/1/2022,7:23:03,12.625384,79.929079,805,58,0.1436472298561425,0,1,0,0,0,0,0,0,0
164,3,6/1/2022,7:23:17,12.627557,79.930026,805,54,0.18978870374289658,0,1,0,0,0,0,0,0,0
165,2,6/1/2022,7:24:02,12.631252,79.93158,805,47,0.2941232680757491,0,1,0,0,0,0,0,0,0
166,2,6/1/2022,7:24:22,12.633258,79.932462,805,59,0.13885250413482977,0,1,0,0,0,0,0,0,0
167,2,6/1/2022,7:24:33,12.635534,79.933484,805,58,0.1503280679971339,0,1,0,0,0,0,0,0,0
168,2,6/1/2022,7:25:06,12.637539,79.934687,805,58,0.15164078826442984,0,1,0,0,0,0,0,0,0
169,1,6/1/2022,7:25:27,12.641655,79.937271,805,58,0.15435193897924224,0,1,0,0,0,0,0,0,0
170,1,6/1/2022,7:27:05,12.653916,79.940029,805,55,0.19895286874808327,0,1,0,0,0,0,0,0,0
171,1,6/1/2022,7:28:36,12.657813,79.941476,805,56,0.18959607179004342,0,1,0,0,0,0,0,0,0
172,2,6/1/2022,7:29:07,12.656141,79.951721,805,37,0.4977035318195162,0,1,0,0,0,0,0,0,0
173,1,6/1/2022,7:29:09,13.05436,80.258608,2846,42,0.7770964197194465,1,0,0,0,0,0,0,0,0
174,1,6/1/2022,7:29:25,13.054712,80.254456,2846,21,0.746994494829472,1,0,0,0,0,0,0,0,0
175,1,6/1/2022,7:29:33,13.053204,80.252145,2846,46,0.7437784231153596,1,0,0,0,0,0,0,0,0
176,3,6/1/2022,7:30:19,13.049029,80.249786,2846,39,0.7915262497864768,1,0,0,0,0,0,0,0,0
177,2,6/1/2022,7:32:19,12.66477,79.968914,805,46,0.3440703615396958,0,1,0,0,0,0,0,0,0
178,2,6/1/2022,7:32:33,12.666115,79.970296,805,53,0.23321322767824973,0,1,0,0,0,0,0,0,0
179,1,6/1/2022,7:32:45,13.040589,80.24727,2846,34,0.8013003737343142,1,0,0,0,0,0,0,0,0
180,1,6/1/2022,7:32:53,13.03978,80.247116,2846,29,0.7954586645063951,1,0,0,0,0,0,0,0,0
181,2,6/1/2022,7:32:56,12.667518,79.972042,805,54,0.2203172995960644,0,1,0,0,0,0,0,0,0
182,1,6/1/2022,7:32:58,13.03978,80.247116,2846,29,0.7954586645063951,1,0,0,0,0,0,0,0,0
183,2,6/1/2022,7:33:20,13.036987,80.246466,2846,54,0.6218427957667356,1,0,0,0,0,0,0,0,0
184,1,6/1/2022,7:33:53,13.034943,80.245836,2846,18,0.7194058810201611,1,0,0,1,0,0,0,0,0
185,1,6/1/2022,7:36:58,13.026211,80.232366,2846,18,0.7202304881759293,1,0,0,1,0,0,0,0,0
186,1,6/1/2022,7:38:04,13.02456,80.22893,2846,24,0.7711021480796519,1,0,0,0,0,0,0,0,0
187,1,6/1/2022,7:38:37,13.023507,80.227613,2846,36,0.7926087461972456,1,0,0,0,0,0,0,0,0
188,1,6/1/2022,7:38:45,13.022054,80.226318,2846,37,0.7887274603480386,1,0,0,0,0,0,0,0,0
189,1,6/1/2022,7:38:55,13.021284,80.225772,2846,34,0.7961523478743295,1,0,0,0,0,0,0,0,0
190,1,6/1/2022,7:42:02,13.012879,80.226848,2846,44,0.734751651758213,1,0,0,0,0,0,0,0,0
191,1,6/1/2022,7:42:31,13.009793,80.226996,2846,39,0.7726551582780252,1,0,0,0,0,0,0,0,0
192,1,6/1/2022,7:43:35,13.011305,80.223556,2846,10,0.6205202957416702,1,0,0,1,0,0,0,0,0
193,1,6/1/2022,7:43:52,13.011501,80.223093,2846,29,0.7915761413033894,1,0,0,0,0,0,0,0,0
194,3,6/1/2022,7:44:43,12.696756,79.976834,805,18,0.7051541174812146,1,0,0,0,0,0,0,0,0
195,3,6/1/2022,7:45:04,12.697349,79.976465,805,27,0.6732207375044356,1,0,0,0,0,0,0,0,0
196,1,6/1/2022,7:45:50,12.697702,79.976182,805,17,0.7036551805508764,1,0,0,1,0,0,0,0,0
197,1,6/1/2022,7:45:53,13.010958,80.217332,2846,52,0.6289794406437651,1,0,0,0,0,0,0,0,0
198,2,6/1/2022,7:47:18,12.697172,79.972959,805,1,0.5522055124129173,1,0,0,0,0,0,0,0,0
199,1,6/1/2022,7:47:21,13.010101,80.214912,2846,51,0.6441219735975864,1,0,0,0,0,0,0,0,0
200,1,6/1/2022,7:47:27,13.009668,80.2136,2846,55,0.5775275559264021,1,0,0,0,0,0,0,0,0
201,1,6/1/2022,7:47:32,13.009668,80.2136,2846,55,0.5775275559264021,1,0,0,0,0,0,0,0,0
202,2,6/1/2022,7:47:58,12.697174,79.97278,805,15,0.6969061000957139,1,0,0,0,0,0,0,0,0
203,2,6/1/2022,7:48:11,12.697246,79.972323,805,24,0.6939342555375462,1,0,0,0,0,0,0,0,0
204,1,6/1/2022,7:48:53,13.008908,80.211645,2846,28,0.7888046385808615,1,0,0,0,0,0,0,0,0
205,1,6/1/2022,7:49:08,12.697522,79.971618,805,1,0.5520732414371591,1,0,0,1,0,0,0,0,0
206,2,6/1/2022,7:49:52,12.703252,79.971392,805,58,0.20026900987479082,0,1,0,0,0,0,0,0,0
207,2,6/1/2022,7:50:16,12.703252,79.971392,805,58,0.20026900987479082,0,1,0,0,0,0,0,0,0
208,1,6/1/2022,7:51:03,13.003073,80.200804,2846,42,0.7489242265396615,1,0,0,0,0,0,0,0,0
209,1,6/1/2022,7:51:12,13.000922,80.195361,2846,34,0.790545398594978,1,0,0,0,0,0,0,0,0
210,2,6/1/2022,7:51:24,12.706974,79.975984,805,58,0.2029935049597923,0,1,0,0,0,0,0,0,0
211,1,6/1/2022,7:51:43,12.71422,79.98012,805,46,0.40430504245196885,0,1,0,0,0,0,0,0,0
212,2,6/1/2022,7:53:05,12.729431,79.98269,805,53,0.2994080988874468,0,1,0,0,0,0,0,0,0
213,1,6/1/2022,7:53:16,12.989675,80.179192,2846,1,0.4789901817844253,0,1,0,1,0,0,0,0,0
214,2,6/1/2022,7:53:42,12.729431,79.98269,805,53,0.2994080988874468,0,1,0,0,0,0,0,0,0
215,1,6/1/2022,7:53:52,12.729431,79.98269,805,53,0.2994080988874468,0,1,0,0,0,0,0,0,0
216,2,6/1/2022,7:54:21,12.98962,80.17912,2846,15,0.6905960185330929,1,0,0,0,0,0,0,0,0
217,1,6/1/2022,7:54:27,12.986855,80.175451,2846,50,0.6401232295411767,1,0,0,0,0,0,0,0,0
218,2,6/1/2022,7:54:39,12.986855,80.175451,2846,50,0.6401232295411767,1,0,0,0,0,0,0,0,0
219,2,6/1/2022,7:55:08,12.986572,80.175039,2846,1,0.47975237124055736,0,1,0,0,0,0,0,0,0
220,2,6/1/2022,7:55:08,12.734727,79.985256,805,47,0.41147692545150755,0,1,0,0,0,0,0,0,0
221,1,6/1/2022,7:55:13,12.986581,80.175037,2846,1,0.47974944723843677,0,1,0,1,0,0,0,0,0
222,2,6/1/2022,7:55:22,12.734727,79.985256,805,47,0.41147692545150755,0,1,0,0,0,0,0,0,0
223,2,6/1/2022,7:55:29,12.734727,79.985256,805,47,0.41147692545150755,0,1,0,0,0,0,0,0,0
224,2,6/1/2022,7:56:12,12.985944,80.174062,2846,45,0.7076578777739105,1,0,0,0,0,0,0,0,0
225,2,6/1/2022,7:57:01,12.985944,80.174062,2846,45,0.7076578777739105,1,0,0,0,0,0,0,0,0
226,1,6/1/2022,7:57:22,12.985184,80.172958,2846,56,0.535968366880712,1,0,0,0,0,0,0,0,0
227,2,6/1/2022,7:58:02,12.744173,79.993056,805,44,0.4774516074780825,0,1,0,0,0,0,0,0,0
228,2,6/1/2022,7:58:32,12.745215,79.993895,805,57,0.25169889071119506,0,1,0,0,0,0,0,0,0
229,1,6/1/2022,7:59:27,12.980644,80.165306,2846,58,0.4941291242996521,0,1,0,0,0,0,0,0,0
230,2,6/1/2022,8:00:12,12.748661,79.996718,805,58,0.24000731943366613,0,1,0,0,0,0,0,0,0
231,1,6/1/2022,8:00:36,12.972456,80.151849,2846,24,0.7694075214197981,1,0,0,0,0,0,0,0,0
232,1,6/1/2022,8:00:38,12.972404,80.151786,2846,1,0.4830053516755778,0,1,0,1,0,0,0,0,0
233,1,6/1/2022,8:01:37,12.966983,80.148989,2846,12,0.6559822588681887,1,0,0,1,0,0,0,0,0
234,1,6/1/2022,8:02:04,12.96606,80.148542,2846,29,0.7843941164302778,1,0,0,0,0,0,0,0,0
235,2,6/1/2022,8:02:24,12.780423,80.011834,805,58,0.27113959560161877,0,1,0,0,0,0,0,0,0
